The matrix U having left singular vectors is:
[matrix size: 60x3; n_nonzero: 180; density: 100.00%]

    (19, 0)        -0.1625
    (20, 0)        -0.1418
    (21, 0)        -0.1334
    (22, 0)        -0.1392
    (23, 0)        -0.1668
    (24, 0)        -0.1220
    (25, 0)        -0.1088
    (26, 0)        -0.0763
    (27, 0)        -0.1334
    (28, 0)        -0.0753
    (29, 0)        -0.1530
    (30, 0)        -0.1415
    (31, 0)        -0.1419
    (32, 0)        -0.1213
    (33, 0)        -0.1319
    (34, 0)        -0.0975
    (35, 0)        -0.1329
    (36, 0)        -0.1322
    (37, 0)        -0.1611
    (38, 0)        -0.1048
    (39, 0)        -0.1522
    (40, 0)        -0.1168
    (41, 0)        -0.0897
    (42, 0)        -0.0953
    (43, 0)        -0.1445
    (44, 0)        -0.1574
    (45, 0)        -0.1724
    (46, 0)        -0.1288
    (47, 0)        -0.1234
    (48, 0)        -0.1317
    (49, 0)        -0.1290
    (50, 0)        -0.1611
    (51, 0)        -0.1480
    (52, 0)        -0.0947
    (53, 0)        -0.1315
    (54, 0)        -0.0920
    (55, 0)        -0.1434
    (56, 0)        -0.1215
    (57, 0)        -0.1045
    (58, 0)        -0.1216
    (59, 0)        -0.1219
     (0, 1)         0.0243
     (1, 1)        -0.1447
     (2, 1)         0.1063
     (3, 1)         0.0320
     (4, 1)        -0.1639
     (5, 1)         0.0982
     (6, 1)         0.0357
     (7, 1)        -0.1711
     (8, 1)         0.1663
     (9, 1)         0.0262
    (10, 1)        -0.1475
    (11, 1)         0.1707
    (12, 1)         0.0190
    (13, 1)        -0.1596
    (14, 1)         0.1001
    (15, 1)         0.0124
    (16, 1)        -0.2279
    (17, 1)         0.1277
    (18, 1)         0.0323
    (19, 1)        -0.2231
    (20, 1)         0.1669
    (21, 1)         0.0225
    (22, 1)        -0.1873
    (23, 1)         0.1890
    (24, 1)         0.0389
    (25, 1)        -0.1459
    (26, 1)         0.0893
    (27, 1)         0.0212
    (28, 1)        -0.1002
    (29, 1)         0.1837
    (30, 1)         0.0284
    (31, 1)        -0.1949
    (32, 1)         0.1314
    (33, 1)         0.0298
    (34, 1)        -0.1101
    (35, 1)         0.1302
    (36, 1)         0.0296
    (37, 1)        -0.2171
    (38, 1)         0.1199
    (39, 1)         0.0395
    (40, 1)        -0.1146
    (41, 1)         0.1055
    (42, 1)         0.0324
    (43, 1)        -0.1962
    (44, 1)         0.1761
    (45, 1)         0.0411
    (46, 1)        -0.1535
    (47, 1)         0.1354
    (48, 1)         0.0281
    (49, 1)        -0.1753
    (50, 1)         0.1807
    (51, 1)         0.0313
    (52, 1)        -0.1100
    (53, 1)         0.1538
    (54, 1)         0.0215
    (55, 1)        -0.1931
    (56, 1)         0.1247
    (57, 1)         0.0222
    (58, 1)        -0.1625
    (59, 1)         0.1451
     (0, 2)        -0.1791
     (1, 2)         0.0596
     (2, 2)         0.0916
     (3, 2)        -0.2133
     (4, 2)         0.0662
     (5, 2)         0.0609
     (6, 2)        -0.2174
     (7, 2)         0.0714
     (8, 2)         0.1242
     (9, 2)        -0.1459
    (10, 2)         0.0457
    (11, 2)         0.1357
    (12, 2)        -0.0861
    (13, 2)         0.0596
    (14, 2)         0.0775
    (15, 2)        -0.1465
    (16, 2)         0.0937
    (17, 2)         0.1019
    (18, 2)        -0.2077
    (19, 2)         0.0914
    (20, 2)         0.1322
    (21, 2)        -0.1628
    (22, 2)         0.0764
    (23, 2)         0.1495
    (24, 2)        -0.1589
    (25, 2)         0.0604
    (26, 2)         0.0659
    (27, 2)        -0.1840
    (28, 2)         0.0431
    (29, 2)         0.1496
    (30, 2)        -0.2083
    (31, 2)         0.0819
    (32, 2)         0.1023
    (33, 2)        -0.1710
    (34, 2)         0.0245
    (35, 2)         0.1143
    (36, 2)        -0.1875
    (37, 2)         0.0928
    (38, 2)         0.1007
    (39, 2)        -0.2122
    (40, 2)         0.0550
    (41, 2)         0.0830
    (42, 2)        -0.1244
    (43, 2)         0.0790
    (44, 2)         0.1277
    (45, 2)        -0.2319
    (46, 2)         0.0443
    (47, 2)         0.1150
    (48, 2)        -0.1883
    (49, 2)         0.0672
    (50, 2)         0.1532
    (51, 2)        -0.2172
    (52, 2)         0.0316
    (53, 2)         0.1253
    (54, 2)        -0.1132
    (55, 2)         0.0811
    (56, 2)         0.1138
    (57, 2)        -0.1537
    (58, 2)         0.0650
    (59, 2)         0.1156


The vector s of singular values is
   1.0000
   0.9744
   0.9604

 The matrix z having constructed from U and V and having the l(logk)=2 eigen vectors of the laplacian is:
[matrix size: 120x2; n_nonzero: 240; density: 100.00%]

     (0, 0)         0.0101
     (1, 0)        -0.0791
     (2, 0)         0.0716
     (3, 0)         0.0095
     (4, 0)        -0.0732
     (5, 0)         0.0708
     (6, 0)         0.0123
     (7, 0)        -0.0794
     (8, 0)         0.0720
     (9, 0)         0.0133
    (10, 0)        -0.0767
    (11, 0)         0.0653
    (12, 0)         0.0151
    (13, 0)        -0.0758
    (14, 0)         0.0683
    (15, 0)         0.0187
    (16, 0)        -0.0818
    (17, 0)         0.0695
    (18, 0)         0.0137
    (19, 0)        -0.0835
    (20, 0)         0.0646
    (21, 0)         0.0085
    (22, 0)        -0.0795
    (23, 0)         0.0683
    (24, 0)         0.0154
    (25, 0)        -0.0793
    (26, 0)         0.0634
    (27, 0)         0.0144
    (28, 0)        -0.0725
    (29, 0)         0.0699
    (30, 0)         0.0086
    (31, 0)        -0.0779
    (32, 0)         0.0689
    (33, 0)         0.0132
    (34, 0)        -0.0771
    (35, 0)         0.0683
    (36, 0)         0.0147
    (37, 0)        -0.0831
    (38, 0)         0.0717
    (39, 0)         0.0188
    (40, 0)        -0.0836
