The D1 matrix is:
[matrix size: 51x51; n_nonzero: 51; density: 1.96%]

    (19, 19)        0.1529
    (25, 19)        0.1905
    (31, 19)        0.1683
    (37, 19)        0.1596
     (2, 20)        0.1561
     (5, 20)        0.1369
    (14, 20)        0.1251
    (17, 20)        0.1449
    (20, 20)        0.1519
    (32, 20)        0.1690
    (47, 20)        0.2095
     (3, 21)        0.1585
     (6, 21)        0.2789
    (21, 21)        0.1598
    (33, 21)        0.1767
    (42, 21)        0.2204
     (7, 22)        0.1785
    (10, 22)        0.1797
    (13, 22)        0.1452
    (22, 22)        0.2194
    (34, 22)        0.1543
    (40, 22)        0.1823
    (46, 22)        0.1764
     (2, 23)        0.1355
     (5, 23)        0.1268
    (11, 23)        0.2486
    (12, 23)        0.0202
    (14, 23)        0.1059
    (17, 23)        0.1112
    (26, 23)        0.1730
    (35, 23)        0.1572
    (44, 23)        0.1455
    (50, 23)        0.1611
    (15, 24)        0.1942
    (20, 24)        0.0544
    (24, 24)        0.1647
    (36, 24)        0.1833
    (39, 24)        0.1720
    (48, 24)        0.1812
    (16, 25)        0.2310
    (31, 25)        0.2498
    (49, 25)        0.2292
     (5, 26)        0.2936
    (44, 26)        0.3032
    (12, 27)        0.1969
    (27, 27)        0.1613
    (30, 27)        0.2008
    (33, 27)        0.1496
    (34, 27)        0.0486
    (45, 27)        0.2457
    (28, 28)        0.3144
    (37, 28)        0.2776
     (2, 29)        0.1717
     (5, 29)        0.1415
     (8, 29)        0.1965
    (14, 29)        0.1086
    (23, 29)        0.1791
    (32, 29)        0.1469
    (38, 29)        0.1830
    (41, 29)        0.1787
     (9, 30)        0.2213
    (18, 30)        0.1902
    (21, 30)        0.1585
    (30, 30)        0.1791
    (33, 30)        0.1402
    (48, 30)        0.1669
    (16, 31)        0.1371
    (31, 31)        0.1819
    (37, 31)        0.1704
    (40, 31)        0.1843
    (43, 31)        0.2185
    (49, 31)        0.1888
    (14, 32)        0.2057
    (33, 32)        0.0440
    (41, 32)        0.2545
    (50, 32)        0.2846
     (0, 33)        0.2713
    (21, 33)        0.1482
    (24, 33)        0.1584
    (27, 33)        0.1428
    (39, 33)        0.1874
    (42, 33)        0.1704
     (4, 34)        0.2591
    (21, 34)        0.0832
    (46, 34)        0.3396
     (3, 35)        0.0297
    (14, 35)        0.1501
    (17, 35)        0.1575
    (20, 35)        0.1802
    (23, 35)        0.2258
    (49, 35)        0.0632
     (3, 36)        0.1491
    (12, 36)        0.1851
    (15, 36)        0.1920
    (21, 36)        0.1426
    (27, 36)        0.1444
    (48, 36)        0.1555
     (7, 37)        0.1603
    (10, 37)        0.1614
    (16, 37)        0.1248
    (19, 37)        0.1206
    (25, 37)        0.1664
    (28, 37)        0.1565
    (40, 37)        0.1897
    (49, 37)        0.1668
     (5, 38)        0.2081
    (26, 38)        0.2662
    (29, 38)        0.2585
     (3, 39)        0.1465
    (12, 39)        0.1712
    (15, 39)        0.1913
    (18, 39)        0.1693
    (27, 39)        0.1456
    (45, 39)        0.2214
    (47, 39)        0.0497
     (4, 40)        0.2141
    (10, 40)        0.1986
    (25, 40)        0.2518
    (28, 40)        0.2058
    (42, 40)        0.0602
     (8, 41)        0.3267
    (17, 41)        0.1892
    (20, 41)        0.2253
    (24, 42)        0.2648
    (27, 42)        0.2323
    (44, 42)        0.1002
     (1, 43)        0.1589
     (4, 43)        0.1492
    (13, 43)        0.1686
    (19, 43)        0.1441
    (34, 43)        0.1838
    (37, 43)        0.1634
    (43, 43)        0.1795
     (2, 44)        0.1771
    (14, 44)        0.1362
    (17, 44)        0.1369
    (20, 44)        0.1523
    (23, 44)        0.1732
    (39, 44)        0.0582
    (41, 44)        0.1711
    (44, 44)        0.1754
    (12, 45)        0.1491
    (15, 45)        0.1352
    (21, 45)        0.1252
    (30, 45)        0.1461
    (33, 45)        0.1206
    (36, 45)        0.1675
    (39, 45)        0.1639
    (41, 45)        0.0358
    (42, 45)        0.1789
     (0, 46)        0.0929
     (4, 46)        0.2091
    (10, 46)        0.2516
    (16, 46)        0.2080
    (42, 46)        0.0592
    (17, 47)        0.1665
    (20, 47)        0.1896
    (28, 47)        0.0332
    (29, 47)        0.1951
    (35, 47)        0.2166
    (38, 47)        0.2054
    (18, 48)        0.2030
    (21, 48)        0.1595
    (24, 48)        0.1505
    (36, 48)        0.1920
    (39, 48)        0.1638
    (42, 48)        0.1809
    (19, 49)        0.1864
    (25, 49)        0.2123
    (31, 49)        0.1979
    (34, 49)        0.1937
    (37, 49)        0.1671
    (11, 50)        0.2743
    (14, 50)        0.1268
    (17, 50)        0.1514
    (29, 50)        0.1948
    (35, 50)        0.1934
    (50, 50)        0.2085


